gene,signal
Gnai3,0.06772
Cdc45,-0.086645
H19,-0.051559
Scml2,-0.018052
Apoh,-0.000212
Narf,-0.098036
Cav2,-0.08089
Klf6,0.308725
Scmh1,0.002251
Cox5a,-0.03835
Tbx2,-0.053209
Tbx4,-0.001017
Ngfr,-0.000653
Wnt3,-0.000445
Wnt9a,-0.001138
Fer,0.071629
Xpo6,0.075412
Tfe3,0.078557
Axin2,-0.029203
Brat1,-0.011006
Gna12,-0.11073
Slc22a18,-0.000502
Itgb2l,0.087286
Igsf5,0.000892
Pih1d2,0.002217
Dlat,-0.061472
Sdhd,0.001337
Fgf23,0.000216
Fgf6,-5e-06
Ccnd2,0.17512
Gpr107,0.056712
Nalcn,-0.000341
Btbd17,-0.000122
Slfn4,0.757308
Th,-5.3e-05
Ins2,0.000556
Scnn1g,0.003349
Drp2,5.7e-05
Tspan32,-0.112408
Lhx2,0.003738
Clec2g,-0.002326
Gmpr,-0.014371
Glra1,0.000274
Mid2,-9.4e-05
Trim25,0.24362
Dgke,0.00726
Scpep1,-0.000305
Mnt,0.001004
Itgb2,-0.001402
Hddc2,-0.003415
Tpd52l1,0.004822
Pemt,0.001551
Cdh1,0.024495
Cdh4,-0.007505
Ckmt1,-0.000728
Bcl6b,0.003019
Clec10a,-0.006601
Alox12,0.022365
Arvcf,-0.055822
Comt,-0.001168
Rtca,0.003207
Dbt,0.000438
Dazap2,0.039577
Mcts1,-0.048183
Rem1,-0.104396
Rnf17,-0.00058
Trappc10,0.030134
Ccm2,0.003417
Tbrg4,0.066745
Tmprss2,0.029045
Mx1,0.740595
Fap,0.111092
Gcg,0.004401
Ndufa9,-0.029471
Egfl6,-0.039331
Lck,0.000695
Tssk3,0.000757
Cttnbp2,-0.043716
Galnt1,-0.053169
Myf5,0.000305
Mkrn2,0.001506
Pparg,-0.123753
Raf1,0.132887
Sept1,-0.079701
Pdgfb,-0.00511
Acvrl1,-0.005538
Grasp,0.005216
Acvr1b,0.108167
Tom1l2,0.002363
Gpa33,0.00347
Zfp385a,-0.081203
Itga5,0.22663
Gabra2,0.001215
Wdr77,0.041373
Adora3,0.138495
Atp5f1,0.000191
Sox9,0.183958
Hnrnpd,0.034707
Dynlt1c,-0.002086
C1d,0.002818
Gm2a,-0.110699
Krit1,0.057265
Clcn4,-0.028805
Vmn2r88,-0.000378
Grm6,-2.8e-05
Sema4f,-0.007667
Hk2,0.246715
Myo18a,-0.000402
Sez6,0.001782
Haao,-0.048326
Cd52,0.073556
Abhd15,-0.000205
Hoxb6,-0.000288
Loxl3,0.000176
Btn1a1,0.00133
